rRNA	6130.50550169
TcMar	35.0011534025
hAT-Tip100	4869.88675601
ERVL-MaLR	48430.1200243
PIF-Harbinger	0.0
ERVL	20079.9982536
ERVK	14021.2323564
hAT-Tip100?	247.002306805
Merlin	32.0
Unknown	1457.0089619
hAT-Charlie	54766.892302
MIR	94793.3368074
5S-Deu-L2	1250.5011534
snRNA	8381.15128759
RTE-BovB	5573.50434829
Satellite	317.506655096
hAT?	34.0055016933
Gypsy	2320.35193607
Helitron?	247.0
TcMar-Pogo	0.0
scRNA	529.756655096
DNA?	773.0
TcMar-Mariner	2825.01964097
centr	1957.73540155
acro	0.0
telo	6.0
LTR	164.00461361
DNA	245.0
hAT-Ac	2836.0
PiggyBac	401.505501693
SVA	781.489808098
TcMar-Tc2	1501.015617
RTE-X	2350.0078085
L2	117011.416153
L1	227569.145471
Dong-R4	86.0
tRNA-Deu	125.0
srpRNA	39868.3984989
hAT-Blackjack	2279.02292585
ERVL?	428.125501693
CR1	17192.5819822
PiggyBac?	27.0
Gypsy?	600.617965868
MULE-MuDR	297.030291923
TcMar-Tigger	36393.2438998
tRNA	1078.0
RNA	35785.4
SINE?	0.0
ERV1?	60.0023068051
tRNA-RTE	2232.0011534
Penelope	344.0
Helitron	233.003460208
ERV1	39148.8653623
hAT-Tag1	67.0
TcMar?	0.0
Alu	131280.587343
hAT	836.011830615
LTR?	858.005501693
