rRNA	64051.001996
TcMar	28.0
hAT-Tip100	10216.8587606
ERVL-MaLR	105981.585957
PIF-Harbinger	0.0
ERVL	48033.9823812
ERVK	19883.7851013
hAT-Tip100?	607.0
Merlin	20.0
Unknown	2349.0
hAT-Charlie	102616.354667
MIR	198760.558528
5S-Deu-L2	1430.0
snRNA	11511.1686627
RTE-BovB	7991.00349078
Satellite	1046.55554882
hAT?	168.025885012
Gypsy	3020.72380455
Helitron?	255.001996008
TcMar-Pogo	4.0
scRNA	718.666666667
DNA?	1021.0
TcMar-Mariner	5813.01146586
centr	3162.05869885
acro	0.0
telo	23.0
LTR	596.756480313
DNA	719.0
hAT-Ac	4473.33333333
PiggyBac	885.504985545
SVA	1557.62549098
TcMar-Tc2	3087.04283765
RTE-X	5524.51047233
L2	236866.769341
L1	496817.1192
Dong-R4	71.0
tRNA-Deu	302.0
srpRNA	42489.6161652
hAT-Blackjack	4688.02914776
ERVL?	960.001494768
CR1	31479.9679746
PiggyBac?	24.0
Gypsy?	1183.45897756
MULE-MuDR	533.409971089
TcMar-Tigger	75102.1031057
tRNA	1980.00199601
RNA	50063.7053571
SINE?	0.0
ERV1?	110.0
tRNA-RTE	3512.00149477
Penelope	463.0
Helitron	575.003992016
ERV1	80359.9683718
hAT-Tag1	0.0
TcMar?	8.0
Alu	185014.703534
hAT	1300.0156859
LTR?	2031.00698155
