rRNA	33585.0066412
TcMar	12.0
hAT-Tip100	5531.21795389
ERVL-MaLR	67743.1300162
PIF-Harbinger	0.0
ERVL	29893.8210462
ERVK	17053.4427451
hAT-Tip100?	244.002785515
Merlin	31.0
Unknown	1337.0
hAT-Charlie	65794.3388805
MIR	120476.779841
5S-Deu-L2	1245.5
snRNA	6947.39934392
RTE-BovB	6705.0
Satellite	657.004
hAT?	77.0042553191
Gypsy	2537.97735016
Helitron?	248.0
TcMar-Pogo	0.0
scRNA	593.032258065
DNA?	757.0
TcMar-Mariner	3863.02349287
centr	2945.49973253
acro	0.0
telo	19.0
LTR	286.002785515
DNA	383.0
hAT-Ac	3045.83333333
PiggyBac	610.006785515
SVA	1233.36487169
TcMar-Tc2	1824.02329615
RTE-X	2903.01923756
L2	153081.505805
L1	270748.172856
Dong-R4	49.0
tRNA-Deu	138.0
srpRNA	47145.4905257
hAT-Blackjack	2448.59732377
ERVL?	426.002785515
CR1	20241.1207845
PiggyBac?	53.0027855153
Gypsy?	745.470696715
MULE-MuDR	341.005571031
TcMar-Tigger	43071.790355
tRNA	1608.0
RNA	42979.8857143
SINE?	0.0
ERV1?	72.0
tRNA-RTE	2670.0
Penelope	258.0
Helitron	269.0
ERV1	48967.3864223
hAT-Tag1	24.0
TcMar?	4.0
Alu	144428.576846
hAT	946.554091451
LTR?	1509.00678552
