rRNA	30037.1333333
TcMar	16.0024752475
hAT-Tip100	5989.45284795
ERVL-MaLR	68322.3364597
PIF-Harbinger	0.0
ERVL	29886.5216606
ERVK	16961.4817371
hAT-Tip100?	388.002475248
Merlin	56.0
Unknown	1657.00247525
hAT-Charlie	73162.1357171
MIR	129469.907884
5S-Deu-L2	1303.5
snRNA	6555.22344828
RTE-BovB	6568.50585363
Satellite	547.502475248
hAT?	151.0
Gypsy	2707.23430203
Helitron?	438.0
TcMar-Pogo	0.0
scRNA	736.166666667
DNA?	756.002475248
TcMar-Mariner	4222.54386246
centr	2989.58102917
acro	0.0
telo	17.0
LTR	392.0
DNA	333.0
hAT-Ac	3317.33333333
PiggyBac	596.003378378
SVA	1384.897362
TcMar-Tc2	2139.0300116
RTE-X	3414.02700301
L2	154134.718935
L1	303178.586663
Dong-R4	108.0
tRNA-Deu	184.0
srpRNA	48617.048954
hAT-Blackjack	2692.08508586
ERVL?	387.0
CR1	22699.4631186
PiggyBac?	16.0
Gypsy?	834.197925818
MULE-MuDR	476.611707252
TcMar-Tigger	47538.4613053
tRNA	1570.0
RNA	37835.0844988
SINE?	0.0
ERV1?	63.0
tRNA-RTE	2889.0
Penelope	285.0
Helitron	274.003378378
ERV1	50935.1449161
hAT-Tag1	96.0
TcMar?	0.0
Alu	160863.053538
hAT	1017.00585363
LTR?	1394.00585363
