rRNA	21860.5025641
TcMar	44.0
hAT-Tip100	6902.32264287
ERVL-MaLR	79927.410903
PIF-Harbinger	4.0
ERVL	34639.1074141
ERVK	22656.6110521
hAT-Tip100?	325.007898288
Merlin	44.0
Unknown	1341.50789829
hAT-Charlie	75090.8308552
MIR	139515.219145
5S-Deu-L2	1413.50394914
snRNA	13015.2104624
RTE-BovB	7417.51347295
Satellite	603.00928333
hAT?	126.002770083
Gypsy	3040.3359086
Helitron?	316.0
TcMar-Pogo	0.0
scRNA	639.337282477
DNA?	861.002564103
TcMar-Mariner	4523.07425413
centr	2490.98804929
acro	7.0
telo	5.00394914412
LTR	330.011847432
DNA	401.001385042
hAT-Ac	3523.0
PiggyBac	512.705334186
SVA	1069.02399761
TcMar-Tc2	1818.03340182
RTE-X	3168.02137124
L2	176768.376647
L1	330222.669668
Dong-R4	100.002564103
tRNA-Deu	163.003949144
srpRNA	71076.4364583
hAT-Blackjack	3111.22113076
ERVL?	508.003949144
CR1	23795.7348997
PiggyBac?	17.0
Gypsy?	854.017181618
MULE-MuDR	417.510668371
TcMar-Tigger	54658.5370552
tRNA	1882.0025641
RNA	71626.7061355
SINE?	0.0
ERV1?	80.0053341857
tRNA-RTE	3006.00394914
Penelope	272.0
Helitron	312.011847432
ERV1	55350.0245093
hAT-Tag1	55.0
TcMar?	24.0
Alu	153141.89937
hAT	900.024564955
LTR?	1721.50789829
