rRNA	8102.50361024
TcMar	44.0010559662
hAT-Tip100	6557.18912502
ERVL-MaLR	74694.3484696
PIF-Harbinger	0.0
ERVL	34282.2584436
ERVK	19642.8231831
hAT-Tip100?	305.003610245
Merlin	28.0010559662
Unknown	1256.20699932
hAT-Charlie	74284.7878787
MIR	135437.205497
5S-Deu-L2	1564.00233311
snRNA	7923.69781765
RTE-BovB	8696.33566644
Satellite	583.018486872
hAT?	101.021299607
Gypsy	2852.44178909
Helitron?	346.001055966
TcMar-Pogo	0.0
scRNA	657.171111705
DNA?	893.004666211
TcMar-Mariner	5216.03815782
centr	1291.89388772
acro	8.0
telo	4.00233310542
LTR	278.011472979
DNA	409.002333105
hAT-Ac	3642.33566644
PiggyBac	642.5177351
SVA	1341.35103037
TcMar-Tc2	1726.32550024
RTE-X	2813.02724888
L2	174928.407895
L1	294881.032082
Dong-R4	56.0010559662
tRNA-Deu	187.002333105
srpRNA	56010.8574374
hAT-Blackjack	2970.69427852
ERVL?	542.005722177
CR1	22751.0585091
PiggyBac?	55.0010559662
Gypsy?	814.049679648
MULE-MuDR	406.009111249
TcMar-Tigger	50945.4852875
tRNA	2279.0
RNA	47096.3350434
SINE?	0.0
ERV1?	102.003389072
tRNA-RTE	3271.00233311
Penelope	368.0
Helitron	292.004445038
ERV1	57640.3835987
hAT-Tag1	8.0
TcMar?	0.0
Alu	171181.103249
hAT	811.004666211
LTR?	1452.03030724
